Chooser	LeftChosen	RightChosen	ChooserSpecies	ChooserSex	ChosenExperience	CrossFoster	VisitedBothInAccl	StartRecordTime	TotalTrialLength	LeftinLeft	LeftinCenter	LeftinRight	CenterinLeft	CenterinCenter	CenterinRight	RightinLeft	RightinCenter	RightinRight	CenterGlobalOverlapWithLeft	CenterGlobalOverlapWithRight	CenterOverlapWithLeftinLeft	CenterOverlapWithRightinRight	PrefForLeft	PrefForRight	PrefForL	PrefForG	PrefInd	Mate
LLF262cf	GOM428	LLM306	L	F	virgin	cf	Y	16.06.2013 13:20:00	224174	224174	0	0	6082	193280	24812	6082	193280	24812	6082	24812	6082	24812	0.196866706	0.803133294	0.803133294	0.196866706	C	
LLM293cf	GOF536	LLF357	L	M	virgin	cf	N	20.08.2013 13:37:46	161473	161473	0	0	6931	136497	18045	0	0	161473	6931	18045	6931	18045	0.277506406	0.722493594	0.722493594	0.277506406	C	
LLF418cf	GOM513	LLM367	L	F	virgin	cf	N	02.09.2013 15:21:00	172684	172684	0	0	79780	84197	8707	79780	82889	10015	79780	8707	79780	8707	0.901601365	0.098398635	0.098398635	0.901601365	H	
LLM419cf	GOF549	LLF421	L	M	virgin	cf	N	26.09.2013 12:16:37	158611	158314	297	0	2134	156010	467	0	0	158611	2134	467	2134	467	0.820453672	0.179546328	0.179546328	0.820453672	H	
LLM415cf	GOF547	LLF424	L	M	virgin	cf	Y	29.09.2013 09:50:19	150515	54279	95971	265	23213	109486	17816	0	260	150255	19892	17791	23213	17816	0.527877292	0.472122708	0.472122708	0.527877292	H	H
LLM416cf	GOF572	LLF459	L	M	virgin	cf	N	03.10.2013 12:16:40	159201	159201	0	0	239	152337	6625	0	0	159201	239	6625	239	6625	0.034819347	0.965180653	0.965180653	0.034819347	C	
LLF478cf	GOM542	LLM450	L	F	virgin	cf	N	16.10.2013 13:25:27	156323	19437	123053	13833	19437	123053	13833	19437	123053	13833	19437	13833	19437	13833	0.584220018	0.415779982	0.415779982	0.584220018	H	
LLF489cf	GOM552	LLM429	L	F	virgin	cf	Y	02.11.2013 14:35:09	167217	132361	34837	318	85	167019	113	132361	34837	318	132361	318	132361	318	0.997603238	0.002396762	0.002396762	0.997603238	H	
LLM487cf	GOF579	LLF463	L	M	virgin	cf	Y	05.11.2013 15:32:37	172649	170968	105	0	39170	133448	31	0	4913	166160	28654	11038	28654	10328	0.735057206	0.264942794	0.264942794	0.735057206	H	
LLM490cf	LLF484	GOF573	L	M	virgin	cf	N	17.11.2013 12:07:00	161663	162910	0	0	18062	116623	26978	0	0	162910	18487	2112	18487	2112	0.897470751	0.102529249	0.897470751	0.102529249	C	C
LLF477cf	LLM455	GOM556	L	F	virgin	cf	N	19.11.2013 15:46:00	161370	167217	0	0	12309	137540	11521	0	0	167217	85	113	85	113	0.429292929	0.570707071	0.429292929	0.570707071	H	
LLF488cf	LLM403	GOM575	L	F	virgin	cf	Y	22.11.2013 16:38:10	24.11.2013 10:07:45	149375	0	0	115818	30497	3060	0	20	149355	115818	3060	115818	3060	0.974259325	0.025740675	0.974259325	0.025740675	C	
LLM531cf	GOF590	LLF523	L	M	virgin	cf	N	08.01.2014 13:26:04	141799	162584	237	0	0	141799	0	0	6981	155840	3078	23826	3078	21659	0.124428993	0.875571007	0.875571007	0.124428993	C	C
LLF543cf	LLM514	GOM597	L	F	virgin	cf	N	14.01.2014 12:41:26	145483	164028	0	0	15098	87905	42480	0	0	164028	259	32	259	32	0.890034364	0.109965636	0.890034364	0.109965636	C	
LLF548cf	GOM637	LLM536	L	F	virgin	cf	N	24.01.2014 12:59:24	167516	161952	0	0	132361	34837	318	0	2037	159915	6503	15514	6503	15171	0.300036911	0.699963089	0.699963089	0.300036911	C	
LLF545cf	LLM552	GOM461	L	F	virgin	cf	Y	29.01.2014 11:16:52	160917	116530	5831	34046	3789	114136	42992	0	0	156407	23520	2753	18583	2753	0.870969254	0.129030746	0.870969254	0.129030746	C	
LLF547cf	GOM639	LLM555	L	F	virgin	cf	Y	06.02.2014 12:45:33	144947	119207	42122	41	2782	140210	1955	0	0	161370	12309	11521	8995	11521	0.438438292	0.561561708	0.561561708	0.438438292	C	C
LLM542cf	GOF645	LLF550	L	M	virgin	cf	Y	06.02.2014 11:58:53	171073	107561	46397	4359	28654	131381	11038	0	0	158317	18824	67701	13825	67701	0.169577803	0.830422197	0.830422197	0.169577803	C	C
