setup,female,male,Generation_female,Generation_male,Phase_siring,Number_offspring,inbreeding_status,female_origin,male_origin,familiarity
II roomA,105,674,F0,F1,8,2,no,G,GF,new
II roomA,105,716,F0,F1,8,1,no,G,FG,new
II roomA,105,724,F0,F1,8,1,mother-son,G,GG,new
II roomA,105,731,F0,F1,8,1,mother-son,G,GG,new
II roomA,107,80,F0,F0,10,3,no,G,F,repeated
II roomA,107,80,F0,F0,6,9,no,G,F,repeated
II roomA,107,80,F0,F0,3,4,no,G,F,new
II roomA,107,695,F0,F1,10,6,mother-son,G,GF,repeated
II roomA,107,695,F0,F1,8,6,mother-son,G,GF,new
II roomA,108,695,F0,F1,9,1,no,G,GF,new
II roomA,108,723,F0,F1,9,5,no,G,GF,new
II roomA,110,700,F0,F1,10,5,no,G,FG,new
II roomA,111,77,F0,F0,5,5,no,G,F,repeated
II roomA,111,77,F0,F0,3,4,no,G,F,new
II roomA,111,674,F0,F1,10,4,mother-son,G,GF,new
II roomA,111,702,F0,F1,7,6,no,G,GF,new
II roomA,112,82,F0,F0,7,3,no,G,F,repeated
II roomA,112,82,F0,F0,3,4,no,G,F,new
II roomA,112,82,F0,F0,5,2,no,G,F,repeated
II roomA,112,82,F0,F0,6,6,no,G,F,repeated
II roomA,112,704,F0,F1,9,3,no,G,GF,new
II roomA,669,97,F1,F0,6,3,daughter-father,GG,G,new
II roomA,669,666,F1,F1,10,3,no,GG,FG,new
II roomA,669,672,F1,F1,6,1,fullsibs,GG,GG,new
II roomA,669,683,F1,F1,6,1,fullsibs,GG,GG,new
II roomA,669,2086,F1,F1,10,5,fullsibs,GG,GG,new
II roomA,673,732,F1,F1,5,2,no,FG,GG,new
II roomA,675,686,F1,F1,7,5,no,FG,GG,new
II roomA,675,694,F1,F1,10,2,no,FG,FG,new
II roomA,675,707,F1,F1,10,5,no,FG,GF,new
II roomA,676,97,F1,F0,5,3,daughter-father,GG,G,new
II roomA,676,672,F1,F1,9,1,fullsibs,GG,GG,new
II roomA,676,683,F1,F1,8,3,fullsibs,GG,GG,new
II roomA,676,683,F1,F1,9,1,fullsibs,GG,GG,new
II roomA,676,731,F1,F1,5,3,fullsibs (littermate),GG,GG,new
II roomA,676,731,F1,F1,9,1,fullsibs (littermate),GG,GG,new
II roomA,677,97,F1,F0,5,1,daughter-father,GG,G,new
II roomA,677,674,F1,F1,10,5,no,GG,GF,new
II roomA,677,731,F1,F1,5,2,fullsibs,GG,GG,new
II roomA,677,731,F1,F1,8,2,fullsibs,GG,GG,repeated
II roomA,677,732,F1,F1,8,1,fullsibs,GG,GG,new
II roomA,678,97,F1,F0,5,2,daughter-father,GG,G,new
II roomA,678,683,F1,F1,7,2,fullsibs (littermate),GG,GG,new
II roomA,678,731,F1,F1,8,1,fullsibs,GG,GG,repeated
II roomA,678,731,F1,F1,5,1,fullsibs,GG,GG,new
II roomA,678,731,F1,F1,7,4,fullsibs,GG,GG,repeated
II roomA,685,96,F1,F0,5,1,daughter-father,FG,G,new
II roomA,685,96,F1,F0,6,1,daughter-father,FG,G,repeated
II roomA,685,679,F1,F1,7,1,no,FG,FG,new
II roomA,685,682,F1,F1,5,1,no,FG,FG,new
II roomA,685,700,F1,F1,5,1,no,FG,FG,new
II roomA,685,732,F1,F1,5,1,no,FG,GG,new
II roomA,688,684,F1,F1,10,6,no,GF,GF,repeated
II roomA,688,684,F1,F1,8,2,no,GF,GF,repeated
II roomA,688,684,F1,F1,7,1,no,GF,GF,new
II roomA,688,684,F1,F1,9,1,no,GF,GF,repeated
II roomA,688,704,F1,F1,10,3,no,GF,GF,repeated
II roomA,688,704,F1,F1,8,2,no,GF,GF,new
II roomA,693,671,F1,F1,6,4,no,GG,FG,new
II roomA,696,679,F1,F1,5,1,no,FG,FG,new
II roomA,696,700,F1,F1,5,1,no,FG,FG,new
II roomA,697,700,F1,F1,6,1,no,FG,FG,new
II roomA,697,2023,F1,F1,8,1,no,FG,GG,new
II roomA,705,671,F1,F1,6,7,no,GG,FG,new
II roomA,705,671,F1,F1,7,6,no,GG,FG,repeated
II roomA,710,684,F1,F1,7,2,fullsibs (littermate),GF,GF,repeated
II roomA,710,684,F1,F1,6,3,fullsibs (littermate),GF,GF,new
II roomA,710,684,F1,F1,9,7,fullsibs (littermate),GF,GF,repeated
II roomA,710,691,F1,F1,6,2,no,GF,GF,new
II roomA,714,691,F1,F1,8,5,fullsibs (littermate),GF,GF,repeated
II roomA,714,691,F1,F1,7,3,fullsibs (littermate),GF,GF,new
II roomA,714,691,F1,F1,9,2,fullsibs (littermate),GF,GF,repeated
II roomA,719,691,F1,F1,9,5,fullsibs,GF,GF,new
II roomA,722,684,F1,F1,7,2,fullsibs (littermate),GF,GF,new
II roomA,722,684,F1,F1,9,6,fullsibs (littermate),GF,GF,repeated
II roomA,722,691,F1,F1,7,1,no,GF,GF,new
II roomA,729,686,F1,F1,7,2,no,FG,GG,repeated
II roomA,729,686,F1,F1,6,2,no,FG,GG,new
II roomA,730,97,F1,F0,6,2,daughter-father,GG,G,new
II roomA,730,674,F1,F1,8,2,no,GG,GF,new
II roomA,730,683,F1,F1,7,4,fullsibs,GG,GG,new
II roomA,730,724,F1,F1,10,7,fullsibs,GG,GG,new
II roomA,1960,683,F1,F1,7,3,fullsibs,GG,GG,new
II roomA,1960,724,F1,F1,10,7,fullsibs (littermate),GG,GG,new
II roomA,1987,672,F1,F1,10,3,fullsibs,GG,GG,new
II roomA,1987,2095,F1,F2,10,1,no,GG,GG.GG,new
II roomA,1988,679,F1,F1,8,1,no,FG,FG,new
II roomA,1988,716,F1,F1,10,3,fullsibs,FG,FG,new
II roomA,1988,732,F1,F1,6,5,no,FG,GG,new
II roomA,1988,1986,F1,F2,10,1,mother-son,FG,FG.GG,new
II roomA,1988,2257,F1,F1,10,1,no,FG,GG,new
II roomA,1991,716,F1,F1,10,8,no,FG,FG,new
II roomA,2006,2257,F2,F1,10,6,no,FG.FG,GG,new
II roomA,2009,2210,F2,F1,10,6,no,FG.GG,FG,new
II roomA,2013,683,F1,F1,10,3,fullsibs,GG,GG,repeated
II roomA,2013,683,F1,F1,8,4,fullsibs,GG,GG,repeated
II roomA,2013,683,F1,F1,6,1,fullsibs,GG,GG,new
II roomA,2013,731,F1,F1,6,1,fullsibs,GG,GG,new
II roomA,2018,702,F1,F1,7,6,no,GF,GF,new
II roomA,2026,666,F1,F1,10,7,no,GG,FG,new
II roomA,2026,683,F1,F1,8,1,fullsibs,GG,GG,new
